지역,2020(1),2020(2),2020(3)
전체 ,20,19.9,19.8
서울 ,51.4,51.2,50.8
서울 도심,75,74.7,73.5
서울 도심광화문,81.3,81.3,81.3
서울 도심남대문,70.1,69.6,68.7
서울 도심동대문,44.6,44.3,44
서울 도심명동,216.5,211.5,208.4
서울 도심시청,83.3,83.3,82
서울 도심을지로,64.2,64.1,63.8
서울 도심종로,76.1,76.5,73.8
서울 도심충무로,49.8,49.7,49.6
서울 강남,58.4,58.6,58.5
서울 강남강남대로,96.6,96.2,96.2
서울 강남교대역,39.2,39.2,38.6
서울 강남남부터미널,44.7,44.5,44.5
서울 강남논현역,64.8,64.7,64.7
서울 강남도산대로,44.4,44.4,44.4
서울 강남신사역,77.7,77.6,77.1
서울 강남압구정,40,42.3,42
서울 강남청담,52.4,52.4,52.4
서울 강남테헤란로,65.5,65.5,65.4
서울 영등포신촌,46.3,46.2,46.1
서울 영등포신촌공덕역,56,56,55.8
서울 영등포신촌당산역,40.2,40.2,40.2
서울 영등포신촌망원역,44.8,44.8,44.5
서울 영등포신촌신촌,52.1,52.1,51.8
서울 영등포신촌영등포,30.9,30.8,30.8
서울 영등포신촌홍대합정,60.7,60.6,60.5
서울 기타,40.1,39.9,39.7
서울 기타가락시장,32.8,32.8,32.8
서울 기타건대입구,53.5,53.5,53.2
서울 기타경희대,44.8,44.8,43.5
서울 기타군자,26.7,26.6,26.5
서울 기타노량진,25.5,25.5,25.5
서울 기타뚝섬,38.8,38.8,39
서울 기타목동,32.5,32.5,32.5
서울 기타불광역,34.6,34.6,34.5
서울 기타사당,44.1,44,44
서울 기타상계역,25.4,25.2,25.2
서울 기타서울대입구역,83,83,82.7
서울 기타성신여대,52.2,51.8,51
서울 기타수유,37.3,37,36.8
서울 기타숙명여대,38.2,38.1,38
서울 기타신림역,72.6,72.6,72.6
서울 기타오류동역,44.4,44.4,44.2
서울 기타왕십리,45.7,45.7,45.7
서울 기타용산역,29.5,29.4,29.2
서울 기타이태원,56.1,55.2,55
서울 기타잠실새내역,38.1,38.1,38.1
서울 기타잠실송파,34.7,34.6,34.6
서울 기타장안동,31.8,31.8,31.8
서울 기타천호,55.7,55.6,55.6
서울 기타청량리,36.5,36.4,35.8
서울 기타혜화동,55.8,55.3,54.4
서울 기타화곡,25.8,25.7,25.7
부산 ,26.9,26.7,26.6
부산 경성대/부경대,30.5,30.4,29.3
부산 광안리,20.7,20.7,20.7
부산 남포동,54.9,54,54
부산 남항동,13.7,13.7,13.5
부산 덕천역,38.3,38,37.3
부산 동래역,28.1,27.9,27.6
부산 부산대학앞,36.5,36,35.8
부산 부산역,22.6,22.5,22.4
부산 부전시장,36.4,36.4,36.4
부산 사상역,18,17.7,17.7
부산 서면전포,25.6,25.5,25.5
부산 송정해수욕장,18.3,18.1,18.9
부산 연산로터리,20.4,20.4,20.2
부산 온천장,19.1,19,19
부산 하단역,23.7,23.7,23.5
부산 해운대,37.7,37.5,37.3
부산 현대백화점주변,22.2,22,21.8
대구 ,19.7,19.8,19.8
대구 경북대북문,17.4,17.5,17.5
대구 동대구,8.2,8.4,8.3
대구 동성로외곽,22.5,22.9,22.8
대구 동성로중심,24.7,24.8,24.8
대구 들안길,16.9,17.1,17.1
대구 상인월배,21.9,22,22
대구 수성범어,24.8,25.1,25.1
대구 시지지구,19,19.1,19
대구 죽전,20.9,20.9,20.9
대구 칠곡,29.6,28.8,28.6
인천 ,21.9,21.8,21.6
인천 간석오거리,18.9,18.8,18.8
인천 계양구,26.2,26.1,25.9
인천 구월,14,14,13.9
인천 부평,36.1,36,35.9
인천 신포동,20.5,20.3,20.2
인천 주안,19.5,19.5,18.8
광주 ,16.5,16.5,16.4
광주 금남로/충장로,21.8,21.8,21.7
광주 금호지구,30.8,30.8,30.3
광주 봉선동,10.2,10.2,10.2
광주 상무지구,15.4,15.4,15.3
광주 송정동지구,20.5,20.5,20.2
광주 양산지구,15.2,15.1,15
광주 용봉동,12.7,12.6,12.6
광주 월산동지구,12.8,12.8,12.7
광주 전남대,21.7,21.7,21.6
광주 첨단1지구,18.3,18.2,18.2
대전 ,12.9,12.9,12.8
대전 노은,18.4,18.3,18.3
대전 복합터미널,9.8,9.8,9.8
대전 서대전네거리,15.9,15.8,15.5
대전 용문/한민시장,15.9,15.9,15.8
대전 원도심,14.3,14.3,14.3
대전 유성온천역,10.8,10.8,10.8
울산 ,13.9,13.8,13.6
울산 삼산동,13.9,13.8,13.7
울산 성남옥교동,14,14,13.8
울산 신정동,13.8,13.8,13.7
울산 울산대,14.5,14.5,14.5
울산 울산북구,13.9,13.8,13.8
울산 전하동,13.6,13.5,13.3
세종 ,15.1,15.1,14.9
세종 조치원,13.7,13.7,13.5
경기 ,23.3,23.3,23.3
경기 고양시청,19.4,19.4,19.4
경기 광명,38.6,38.5,38.4
경기 광주시가지,20.8,20.6,20.5
경기 구리역,38.5,38.4,38.4
경기 김량장동,18.5,18.4,18.4
경기 동두천중앙로,13,13,13
경기 모란,37.8,37.6,36.9
경기 병점역,17.7,17.7,21.2
경기 부천역,26.3,26.2,26.2
경기 성남구시가지,27.8,27.7,27.7
경기 수원역,65,65.4,65.3
경기 신장/지산/서정,19.1,19,18.9
경기 안성시장,11.6,11.6,11.6
경기 안양역,38.5,38.5,38.5
경기 여주군청,23.9,23.9,23.3
경기 오산시청,17.3,17.2,17.2
경기 용인수지,24.5,24.5,24.5
경기 의정부역,33.1,32.8,32.8
경기 이천종합터미널,17.2,17.2,17.2
경기 인계동,24.5,24.4,24.4
경기 탄현역,19.3,19.3,19.4
경기 파주시청,27.8,27.6,27.4
경기 팔달문로터리,37.4,37.4,37.3
경기 평택역,17.7,17.7,17.7
경기 포천시외버스터미널,14.2,14.2,14.2
경기 하남원도심,44.9,44.9,44.9
강원 ,13,12.9,12.9
강원 강릉,11.4,11.4,11.4
강원 강릉교동,18.1,18.1,17.9
강원 삼척중앙시장,9.6,9.6,9.5
강원 속초중앙시장,18.5,18.5,18.4
강원 영월경찰서,11.6,11.6,11.5
강원 원주,18.5,18.2,18.2
강원 주문진항,11.4,11.4,11.4
강원 춘천,15.9,16.1,16.1
강원 태백중앙시장,9.6,9.6,9.5
충북 ,12.1,12,12
충북 제천역,6.3,6.3,6.3
충북 제천중앙,13,12.9,12.9
충북 청주,17.3,17.1,17
충북 충북대학교,17.1,17.1,17
충북 충주,10.8,10.7,10.7
충북 충주자유시장,7.9,7.8,7.8
충남 ,12.7,12.7,12.6
충남 강경젓갈시장,7.6,7.6,7.5
충남 공주웅진동,15.7,15.6,15.6
충남 논산시외버스터미널,12.8,12.8,12.7
충남 당진시청,16.1,15.8,15.7
충남 두정,15.3,15.2,15.2
충남 보령,14.1,14,14
충남 서산,17.1,17,16.9
충남 아산온양,13.7,13.7,13.7
충남 천안역,15.2,15.2,15.2
충남 천안종합버스터미널,17.9,17.8,17.8
충남 태안,10.1,10.1,10
충남 합덕버스터미널,7.3,7.3,7.3
전북 ,10.3,10.3,10.2
전북 군산,8.9,8.7,8.7
전북 김제,9.5,9.5,9.5
전북 남원,9,9,9
전북 익산역,8.7,8.7,8.6
전북 전주동부,13.5,13.5,13.5
전북 전주서부,13.7,13.6,13.6
전북 정읍,13.2,13.1,13.1
전남 ,9.8,9.8,9.8
전남 광양읍,6.4,6.4,6.4
전남 광양중동,9.9,9.9,9.8
전남 나주구시가지,10.9,10.9,10.8
전남 목포,7,6.9,6.9
전남 무선지구,10,10,10
전남 순천,10.8,10.7,10.7
전남 순천법원,12.5,12.4,12.4
전남 여수여문,10.7,10.7,10.7
전남 여수원도심,19.9,19.9,19.9
전남 여수학동,11.2,11.1,11.1
전남 조례,14.4,14.4,14.3
전남 하당신도심,11.3,11.2,11.2
경북 ,13,13,12.9
경북 가흥택지개발지구,12.4,12.4,11.6
경북 경주,20.8,20.8,20.5
경북 구미,15.8,15.7,15.7
경북 구미산업단지,16.5,16.5,16.5
경북 구미선주원남동,12.1,12.1,11.9
경북 문경,10.2,10.2,10.2
경북 상주동문동,10.4,10.4,10.3
경북 안동,12.2,12.1,12.1
경북 영일대해수욕장,16.7,16.7,16.7
경북 영주,6.7,6.6,6.6
경북 옥동사거리,13,13,12.6
경북 포항,11.3,11.3,11.1
경남 ,13.4,13.4,13.2
경남 거제,16.3,16.3,16.3
경남 거제옥포,12.9,12.8,12.8
경남 김해,13.8,13.8,13.8
경남 마산동서동,14.1,14.1,14
경남 마산역버스터미널,16.4,16.2,16.1
경남 양산,9.4,9.4,9.3
경남 진주중앙시장,15.8,15.7,15.5
경남 진해,18.8,18.7,18.7
경남 창원시청,12.2,12.1,12.1
경남 창원역,16.2,16,15.8
경남 창원월영동,25.1,24.8,24.3
경남 창원의창구청,9,9,9
경남 통영 강구안,26.3,26.1,26.1
경남 활천동,10.3,10.3,10.3
제주 ,12.5,12.4,12.4
제주 광양사거리,11.2,10.8,10.8
제주 노형오거리,18.3,18.3,18.3
제주 서귀포도심,15.4,15.1,15.1
제주 중앙사거리,9.9,9.9,9.9
